,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
21,"Aug. 8, 2015 - Aug. 15, 2015",Charles W. Dent,Charlie Dent,R,PA-15,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
22,"Aug. 13, 2015 - Aug. 15, 2015",John Marshall,Bobby L. Rush,D,IL-1,"San Francisco, CA",Alliance to Save Energy,Original
23,"Aug. 8, 2015 - Aug. 15, 2015",Markwayne Mullin,Markwayne Mullin,R,OK-2,"Jerusalem, Israel",American Israel Education Foundation,Original
24,"Aug. 8, 2015 - Aug. 15, 2015",Markwayne Mullin,Markwayne Mullin,R,OK-2,"Tel Aviv, Israel",American Israel Education Foundation,Original
25,"Aug. 8, 2015 - Aug. 15, 2015",Markwayne Mullin,Markwayne Mullin,R,OK-2,"Tiberias, Israel",American Israel Education Foundation,Original
26,"Aug. 9, 2015 - Aug. 15, 2015",Bill Flores,Bill Flores,R,TX-17,"Jerusalem, Israel",American Israel Education Foundation,Original
27,"Aug. 9, 2015 - Aug. 15, 2015",Bill Flores,Bill Flores,R,TX-17,"Tel Aviv, Israel",American Israel Education Foundation,Original
28,"Aug. 9, 2015 - Aug. 15, 2015",Bill Flores,Bill Flores,R,TX-17,"Tiberias, Israel",American Israel Education Foundation,Original
29,"Aug. 8, 2015 - Aug. 15, 2015",Patrick T. McHenry,Patrick T. McHenry,R,NC-10,"Jerusalem, Israel",American Israel Education Foundation,Original
30,"Aug. 8, 2015 - Aug. 15, 2015",Patrick T. McHenry,Patrick T. McHenry,R,NC-10,"Tel Aviv, Israel",American Israel Education Foundation,Original
31,"Aug. 8, 2015 - Aug. 15, 2015",Patrick T. McHenry,Patrick T. McHenry,R,NC-10,"Tiberias, Israel",American Israel Education Foundation,Original
32,"Aug. 4, 2015 - Aug. 14, 2015",Sam Farr,Sam Farr,D,CA-20,"Arusha, Tanzania",Aspen Institute Congressional Program,Amendment
33,"Aug. 6, 2015 - Aug. 14, 2015",Jason Chaffetz,Jason Chaffetz,R,UT-3,"Arusha, Tanzania",Aspen Institute Congressional Program,Amendment
34,"Aug. 4, 2015 - Aug. 14, 2015",Chris Stewart,Chris Stewart,R,UT-2,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
35,"Aug. 8, 2015 - Aug. 14, 2015",Steve Womack,Steve Womack,R,AR-3,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
36,"Aug. 8, 2015 - Aug. 14, 2015",Martha McSally,Martha McSally,R,AZ-2,"Jerusalem, Israel",American Israel Education Foundation,Original
37,"Aug. 8, 2015 - Aug. 14, 2015",Martha McSally,Martha McSally,R,AZ-2,"Tel Aviv, Israel",American Israel Education Foundation,Original
38,"Aug. 8, 2015 - Aug. 14, 2015",Martha McSally,Martha McSally,R,AZ-2,"Tiberias, Israel",American Israel Education Foundation,Original
39,"Aug. 4, 2015 - Aug. 14, 2015",Sam Farr,Sam Farr,D,CA-20,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
40,"Aug. 6, 2015 - Aug. 14, 2015",Jason Chaffetz,Jason Chaffetz,R,UT-3,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
41,"Aug. 7, 2015 - Aug. 13, 2015",Karen Bass,Karen Bass,D,CA-37,"Arusha, Tanzania",Aspen Institute Congressional Program,Original
42,"Aug. 4, 2015 - Aug. 13, 2015",Kelli Briggs,Pat Tiberi,R,OH-12,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
43,"Aug. 4, 2015 - Aug. 12, 2015",Evan H. Jenkins,Evan Jenkins,R,WV-3,"Cairo, Egypt",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
44,"Aug. 4, 2015 - Aug. 12, 2015",Evan H. Jenkins,Evan Jenkins,R,WV-3,"Tel Aviv, Israel",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
45,"Aug. 5, 2015 - Aug. 12, 2015",Trent Franks,Trent Franks,R,AZ-8,"Cairo, Egypt",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
46,"Aug. 5, 2015 - Aug. 12, 2015",Trent Franks,Trent Franks,R,AZ-8,"Tel Aviv, Israel",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
47,"Aug. 4, 2015 - Aug. 12, 2015",Keith J. Rothfus,Keith Rothfus,R,PA-12,"Cairo, Egypt",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
48,"Aug. 4, 2015 - Aug. 12, 2015",Keith J. Rothfus,Keith Rothfus,R,PA-12,"Tel Aviv, Israel",International Israel Allies Caucus Foundation (DBA: Israel Allies Foundation),Original
49,"Aug. 4, 2015 - Aug. 12, 2015",Sean Patrick Maloney,Sean Patrick Maloney,D,NY-18,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
0,"Aug. 12, 2015 - Aug. 12, 2015",Drew Davidhizar,Jeb Hensarling,R,TX-5,"Philadelphia, PA",Third Way,Original
1,"Aug. 12, 2015 - Aug. 12, 2015",Richard Lee,Collin C. Peterson,D,MN-7,"Philadelphia, PA",Third Way,Original
2,"Aug. 12, 2015 - Aug. 12, 2015",Hana Greenberg,Ron Kind,D,WI-3,"Philadelphia, PA",Third Way,Original
3,"Aug. 12, 2015 - Aug. 12, 2015",Jacob Fullmer,Cresent Hardy,R,NV-4,"Philadelphia, PA",Third Way,Original
4,"Aug. 12, 2015 - Aug. 12, 2015",Matt Mulder,Patrick T. McHenry,R,NC-10,"Philadelphia, PA",Third Way,Original
5,"Aug. 12, 2015 - Aug. 12, 2015",Erik Rust,Ann Wagner,R,MO-2,"Philadelphia, PA",Third Way,Original
6,"Aug. 12, 2015 - Aug. 12, 2015",Michael Sinacore,Bruce Poliquin,R,ME-2,"Philadelphia, PA",Third Way,Original
7,"Aug. 12, 2015 - Aug. 12, 2015",DeCarlo S. McLaren,Joyce Beatty,D,OH-3,"Philadelphia, PA",Third Way,Original
8,"Aug. 3, 2015 - Aug. 11, 2015",Daniel Silverberg,Steny H. Hoyer,D,MD-5,"Tiberias, Israel",American Israel Education Foundation,Original
9,"Aug. 10, 2015 - Aug. 11, 2015","Thomas J. Wickham, Jr.",John A. Boehner,R,OH-8,"Monterey, CA",The Panetta Institute for Public Policy,Original
10,"Aug. 3, 2015 - Aug. 11, 2015",Steny H. Hoyer,Steny H. Hoyer,D,MD-5,"Jerusalem, Israel",American Israel Education Foundation,Original
11,"Aug. 3, 2015 - Aug. 11, 2015",Steny H. Hoyer,Steny H. Hoyer,D,MD-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
12,"Aug. 3, 2015 - Aug. 11, 2015",Steny H. Hoyer,Steny H. Hoyer,D,MD-5,"Tiberias, Israel",American Israel Education Foundation,Original
13,"Aug. 3, 2015 - Aug. 11, 2015",Brad Ashford,Brad Ashford,D,NE-2,"Jerusalem, Israel",American Israel Education Foundation,Original
14,"Aug. 3, 2015 - Aug. 11, 2015",Brad Ashford,Brad Ashford,D,NE-2,"Tel Aviv, Israel",American Israel Education Foundation,Original
15,"Aug. 3, 2015 - Aug. 11, 2015",Brad Ashford,Brad Ashford,D,NE-2,"Tiberias, Israel",American Israel Education Foundation,Original
16,"Aug. 5, 2015 - Aug. 11, 2015",Kathleen M. Rice,Kathleen Rice,D,NY-4,"Jerusalem, Israel",American Israel Education Foundation,Original
17,"Aug. 5, 2015 - Aug. 11, 2015",Kathleen M. Rice,Kathleen Rice,D,NY-4,"Tel Aviv, Israel",American Israel Education Foundation,Original
18,"Aug. 5, 2015 - Aug. 11, 2015",Kathleen M. Rice,Kathleen Rice,D,NY-4,"Tiberias, Israel",American Israel Education Foundation,Original
19,"Aug. 3, 2015 - Aug. 11, 2015",Pete Aguilar,Pete Aguilar,D,CA-31,"Jerusalem, Israel",American Israel Education Foundation,Original
20,"Aug. 3, 2015 - Aug. 11, 2015",Pete Aguilar,Pete Aguilar,D,CA-31,"Tel Aviv, Israel",American Israel Education Foundation,Original
21,"Aug. 3, 2015 - Aug. 11, 2015",Pete Aguilar,Pete Aguilar,D,CA-31,"Tiberias, Israel",American Israel Education Foundation,Original
22,"Aug. 3, 2015 - Aug. 11, 2015",Denny Heck,Denny Heck,D,WA-10,"Jerusalem, Israel",American Israel Education Foundation,Original
23,"Aug. 3, 2015 - Aug. 11, 2015",Denny Heck,Denny Heck,D,WA-10,"Tel Aviv, Israel",American Israel Education Foundation,Original
24,"Aug. 3, 2015 - Aug. 11, 2015",Denny Heck,Denny Heck,D,WA-10,"Tiberias, Israel",American Israel Education Foundation,Original
25,"Aug. 3, 2015 - Aug. 11, 2015",David Loebsack,Dave Loebsack,D,IA-2,"Jerusalem, Israel",American Israel Education Foundation,Original
26,"Aug. 3, 2015 - Aug. 11, 2015",David Loebsack,Dave Loebsack,D,IA-2,"Tel Aviv, Israel",American Israel Education Foundation,Original
27,"Aug. 3, 2015 - Aug. 11, 2015",David Loebsack,Dave Loebsack,D,IA-2,"Tiberias, Israel",American Israel Education Foundation,Original
28,"Aug. 3, 2015 - Aug. 11, 2015",Ron Kind,Ron Kind,D,WI-3,"Jerusalem, Israel",American Israel Education Foundation,Original
29,"Aug. 3, 2015 - Aug. 11, 2015",Ron Kind,Ron Kind,D,WI-3,"Tel Aviv, Israel",American Israel Education Foundation,Original
30,"Aug. 3, 2015 - Aug. 11, 2015",Ron Kind,Ron Kind,D,WI-3,"Tiberias, Israel",American Israel Education Foundation,Original
31,"Aug. 3, 2015 - Aug. 11, 2015",Gwen Graham,Gwen Graham,D,FL-2,"Jerusalem, Israel",American Israel Education Foundation,Original
32,"Aug. 3, 2015 - Aug. 11, 2015",Gwen Graham,Gwen Graham,D,FL-2,"Tel Aviv, Israel",American Israel Education Foundation,Original
33,"Aug. 3, 2015 - Aug. 11, 2015",Gwen Graham,Gwen Graham,D,FL-2,"Tiberias, Israel",American Israel Education Foundation,Original
34,"Aug. 1, 2015 - Aug. 11, 2015",Gene Green,Gene Green,D,TX-29,"Jerusalem, Israel",American Israel Education Foundation,Original
35,"Aug. 1, 2015 - Aug. 11, 2015",Gene Green,Gene Green,D,TX-29,"Tel Aviv, Israel",American Israel Education Foundation,Original
36,"Aug. 1, 2015 - Aug. 11, 2015",Gene Green,Gene Green,D,TX-29,"Tiberias, Israel",American Israel Education Foundation,Original
37,"Aug. 3, 2015 - Aug. 11, 2015",Ruben Gallego,Ruben Gallego,D,AZ-7,"Jerusalem, Israel",American Israel Education Foundation,Original
38,"Aug. 3, 2015 - Aug. 11, 2015",Ruben Gallego,Ruben Gallego,D,AZ-7,"Tel Aviv, Israel",American Israel Education Foundation,Original
39,"Aug. 3, 2015 - Aug. 11, 2015",Ruben Gallego,Ruben Gallego,D,AZ-7,"Tiberias, Israel",American Israel Education Foundation,Original
40,"Aug. 5, 2015 - Aug. 11, 2015",Donald Norcross,Donald W. Norcross,D,NJ-1,"Jerusalem, Israel",American Israel Education Foundation,Original
41,"Aug. 5, 2015 - Aug. 11, 2015",Donald Norcross,Donald W. Norcross,D,NJ-1,"Tel Aviv, Israel",American Israel Education Foundation,Original
42,"Aug. 5, 2015 - Aug. 11, 2015",Donald Norcross,Donald W. Norcross,D,NJ-1,"Tiberias, Israel",American Israel Education Foundation,Original
43,"Aug. 3, 2015 - Aug. 11, 2015",Katie Grant,Steny H. Hoyer,D,MD-5,"Jerusalem, Israel",American Israel Education Foundation,Original
44,"Aug. 3, 2015 - Aug. 11, 2015",Katie Grant,Steny H. Hoyer,D,MD-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
45,"Aug. 3, 2015 - Aug. 11, 2015",Katie Grant,Steny H. Hoyer,D,MD-5,"Tiberias, Israel",American Israel Education Foundation,Original
46,"Aug. 3, 2015 - Aug. 11, 2015",Ted Lieu,Ted Lieu,D,CA-33,"Jerusalem, Israel",American Israel Education Foundation,Original
47,"Aug. 3, 2015 - Aug. 11, 2015",Ted Lieu,Ted Lieu,D,CA-33,"Tel Aviv, Israel",American Israel Education Foundation,Original
48,"Aug. 3, 2015 - Aug. 11, 2015",Ted Lieu,Ted Lieu,D,CA-33,"Tiberias, Israel",American Israel Education Foundation,Original
49,"Aug. 3, 2015 - Aug. 11, 2015",Tammy Duckworth,Tammy Duckworth,D,IL-8,"Jerusalem, Israel",American Israel Education Foundation,Original
0,"Aug. 3, 2015 - Aug. 11, 2015",Tammy Duckworth,Tammy Duckworth,D,IL-8,"Tel Aviv, Israel",American Israel Education Foundation,Original
1,"Aug. 3, 2015 - Aug. 11, 2015",Tammy Duckworth,Tammy Duckworth,D,IL-8,"Tiberias, Israel",American Israel Education Foundation,Original
2,"Aug. 3, 2015 - Aug. 11, 2015",Katherine M. Clark,Katherine Clark,D,MA-5,"Jerusalem, Israel",American Israel Education Foundation,Original
3,"Aug. 3, 2015 - Aug. 11, 2015",Katherine M. Clark,Katherine Clark,D,MA-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
4,"Aug. 3, 2015 - Aug. 11, 2015",Katherine M. Clark,Katherine Clark,D,MA-5,"Tiberias, Israel",American Israel Education Foundation,Original
5,"Aug. 3, 2015 - Aug. 11, 2015",Mark DeSaulnier,Mark DeSaulnier,D,CA-11,"Jerusalem, Israel",American Israel Education Foundation,Original
6,"Aug. 3, 2015 - Aug. 11, 2015",Mark DeSaulnier,Mark DeSaulnier,D,CA-11,"Tel Aviv, Israel",American Israel Education Foundation,Original
7,"Aug. 3, 2015 - Aug. 11, 2015",Mark DeSaulnier,Mark DeSaulnier,D,CA-11,"Tiberias, Israel",American Israel Education Foundation,Original
8,"Aug. 3, 2015 - Aug. 11, 2015",Elizabeth H. Esty,Elizabeth Esty,D,CT-5,"Jerusalem, Israel",American Israel Education Foundation,Original
9,"Aug. 3, 2015 - Aug. 11, 2015",Elizabeth H. Esty,Elizabeth Esty,D,CT-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
10,"Aug. 3, 2015 - Aug. 11, 2015",Elizabeth H. Esty,Elizabeth Esty,D,CT-5,"Tiberias, Israel",American Israel Education Foundation,Original
11,"Aug. 3, 2015 - Aug. 11, 2015",Brendan F. Boyle,Brendan Boyle,D,PA-13,"Jerusalem, Israel",American Israel Education Foundation,Original
12,"Aug. 3, 2015 - Aug. 11, 2015",Brendan F. Boyle,Brendan Boyle,D,PA-13,"Tel Aviv, Israel",American Israel Education Foundation,Original
13,"Aug. 3, 2015 - Aug. 11, 2015",Brendan F. Boyle,Brendan Boyle,D,PA-13,"Tiberias, Israel",American Israel Education Foundation,Original
14,"Aug. 3, 2015 - Aug. 11, 2015",Brian Romick,Steny H. Hoyer,D,MD-5,"Jerusalem, Israel",American Israel Education Foundation,Original
15,"Aug. 3, 2015 - Aug. 11, 2015",Brian Romick,Steny H. Hoyer,D,MD-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
16,"Aug. 3, 2015 - Aug. 11, 2015",Brian Romick,Steny H. Hoyer,D,MD-5,"Tiberias, Israel",American Israel Education Foundation,Original
17,"Aug. 3, 2015 - Aug. 11, 2015",Bonnie Watson Coleman,Bonnie Watson Coleman,D,NJ-12,"Jerusalem, Israel",American Israel Education Foundation,Original
18,"Aug. 3, 2015 - Aug. 11, 2015",Bonnie Watson Coleman,Bonnie Watson Coleman,D,NJ-12,"Tel Aviv, Israel",American Israel Education Foundation,Original
19,"Aug. 3, 2015 - Aug. 11, 2015",Bonnie Watson Coleman,Bonnie Watson Coleman,D,NJ-12,"Tiberias, Israel",American Israel Education Foundation,Original
20,"Aug. 3, 2015 - Aug. 11, 2015",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Jerusalem, Israel",American Israel Education Foundation,Original
21,"Aug. 3, 2015 - Aug. 11, 2015",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Tel Aviv, Israel",American Israel Education Foundation,Original
22,"Aug. 3, 2015 - Aug. 11, 2015",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Tiberias, Israel",American Israel Education Foundation,Original
23,"Aug. 3, 2015 - Aug. 11, 2015",Seth Moulton,Seth Moulton,D,MA-6,"Jerusalem, Israel",American Israel Education Foundation,Original
24,"Aug. 3, 2015 - Aug. 11, 2015",Seth Moulton,Seth Moulton,D,MA-6,"Tel Aviv, Israel",American Israel Education Foundation,Original
25,"Aug. 3, 2015 - Aug. 11, 2015",Seth Moulton,Seth Moulton,D,MA-6,"Tiberias, Israel",American Israel Education Foundation,Original
26,"Aug. 3, 2015 - Aug. 11, 2015",Alma S. Adams,Alma Adams,D,NC-12,"Jerusalem, Israel",American Israel Education Foundation,Original
27,"Aug. 3, 2015 - Aug. 11, 2015",Alma S. Adams,Alma Adams,D,NC-12,"Tel Aviv, Israel",American Israel Education Foundation,Original
28,"Aug. 3, 2015 - Aug. 11, 2015",Alma S. Adams,Alma Adams,D,NC-12,"Tiberias, Israel",American Israel Education Foundation,Original
29,"Aug. 4, 2015 - Aug. 11, 2015",Jeff Denham,Jeffrey Denham,R,CA-10,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
30,"Aug. 3, 2015 - Aug. 11, 2015",Daniel Silverberg,Steny H. Hoyer,D,MD-5,"Jerusalem, Israel",American Israel Education Foundation,Original
31,"Aug. 3, 2015 - Aug. 11, 2015",Daniel Silverberg,Steny H. Hoyer,D,MD-5,"Tel Aviv, Israel",American Israel Education Foundation,Original
32,"Aug. 8, 2015 - Aug. 10, 2015",David P. Roe,Phil Roe,R,TN-1,"Chicago, IL",American Society for Gastronintestinal Endoscopy,Original
33,"Aug. 2, 2015 - Aug. 10, 2015",Mark Takai,Mark Takai,D,HI-1,"Jerusalem, Israel",American Israel Education Foundation,Original
34,"Aug. 2, 2015 - Aug. 10, 2015",Mark Takai,Mark Takai,D,HI-1,"Tel Aviv, Israel",American Israel Education Foundation,Original
35,"Aug. 2, 2015 - Aug. 10, 2015",Mark Takai,Mark Takai,D,HI-1,"Tiberias, Israel",American Israel Education Foundation,Original
36,"Aug. 10, 2015 - Aug. 10, 2015",Samuel Negatu,Matt Cartwright,D,PA-17,"Harpers Ferry, WV",National Parks Conservation Association,Original
37,"Aug. 10, 2015 - Aug. 10, 2015",Colin Swanson,Dave Reichert,R,WA-8,"Harpers Ferry, WV",National Parks Conservation Association,Original
38,"Aug. 10, 2015 - Aug. 10, 2015",Shelby Boxenbaum,Matt Cartwright,D,PA-17,"Harpers Ferry, WV",National Parks Conservation Association,Original
39,"Aug. 10, 2015 - Aug. 10, 2015",Alexandra E. Vecchio,Mike Quigley,D,IL-5,"Harpers Ferry, WV",National Parks Conservation Association,Original
40,"Aug. 10, 2015 - Aug. 10, 2015",Madeleine Pike,Albio Sires,D,NJ-8,"Harpers Ferry, WV",National Parks Conservation Association,Original
41,"Aug. 3, 2015 - Aug. 10, 2015",Mike Sommers,John A. Boehner,R,OH-8,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
42,"Aug. 5, 2015 - Aug. 10, 2015",Steve Scalise,Steve Scalise,R,LA-1,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
43,"Aug. 6, 2015 - Aug. 9, 2015",Barbara Lee,Barbara Lee,D,CA-13,"Tunica, MS",Congressional Black Caucus Institute,Original
44,"Aug. 6, 2015 - Aug. 9, 2015",Matthew Weibel,Justin Amash,R,MI-3,"Hillsdale, MI",Hillsdale College,Original
45,"Aug. 6, 2015 - Aug. 9, 2015",Anna M. Schartner,Bill Posey,R,FL-8,"Hillsdale, MI",Hillsdale College,Original
46,"Aug. 6, 2015 - Aug. 9, 2015",Emily J. Goff,Tom Price,R,GA-6,"Hillsdale, MI",Hillsdale College,Original
47,"Aug. 8, 2015 - Aug. 9, 2015",Sheila Jackson Lee,Sheila Jackson Lee,D,TX-18,"Tunica, MS",Congressional Black Caucus Institute,Original
48,"Aug. 6, 2015 - Aug. 9, 2015",Marcia L. Fudge,Marcia L. Fudge,D,OH-11,"Tunica, MS",Congressional Black Caucus Institute,Original
49,"Aug. 6, 2015 - Aug. 9, 2015",Joshua S. Althouse,Joe Pitts,R,PA-16,"Hillsdale, MI",Hillsdale College,Original
0,"Aug. 3, 2015 - Aug. 9, 2015",Jim McDermott,Jim McDermott,D,WA-7,"Melbourne, Australia",American Australian Education Leadership Foundation,Original
1,"Aug. 6, 2015 - Aug. 9, 2015",Jonathan Hirte,Tim Walberg,R,MI-7,"Hillsdale, MI",Hillsdale College,Original
2,"Aug. 4, 2015 - Aug. 9, 2015",James B. Renacci,Jim Renacci,R,OH-16,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
3,"Aug. 6, 2015 - Aug. 9, 2015",Anna Fronzaglia,Tim Huelskamp,R,KS-1,"Hillsdale, MI",Hillsdale College,Original
4,"Aug. 4, 2015 - Aug. 9, 2015",Pete Sessions,Pete Sessions,R,TX-32,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
5,"Aug. 6, 2015 - Aug. 9, 2015",Sanford D. Bishop,Sanford D. Bishop Jr.,D,GA-2,"Tunica, MS",Congressional Black Caucus Institute,Original
6,"Aug. 6, 2015 - Aug. 9, 2015",Alec Torres,Kevin McCarthy,R,CA-23,"Hillsdale, MI",Hillsdale College,Original
7,"Aug. 6, 2015 - Aug. 9, 2015",Emanuel Cleaver,Emanuel Cleaver II,D,MO-5,"Tunica, MS",Congressional Black Caucus Institute,Original
8,"Aug. 6, 2015 - Aug. 9, 2015",Emanuel Cleaver,Emanuel Cleaver II,D,MO-5,"Tunica, MS",Congressional Black Caucus Institute,Amendment
9,"Aug. 6, 2015 - Aug. 9, 2015",Stacey E. Plaskett,Stacey Plaskett,D,VI,"Tunica, MS",Congressional Black Caucus Institute,Original
10,"Aug. 2, 2015 - Aug. 9, 2015",Patrick Meehan,Pat Meehan,R,PA-7,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
11,"Aug. 2, 2015 - Aug. 9, 2015",Renee L. Ellmers,Renee Ellmers,R,NC-2,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
12,"Aug. 3, 2015 - Aug. 9, 2015",Erik Paulsen,Erik Paulsen,R,MN-3,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
13,"Aug. 4, 2015 - Aug. 9, 2015",Bill Pascrell,Bill Pascrell Jr.,D,NJ-9,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
14,"Aug. 2, 2015 - Aug. 9, 2015",Bill Shuster,Bill Shuster,R,PA-9,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
15,"Aug. 2, 2015 - Aug. 9, 2015",Rodney Davis,Rodney Davis,R,IL-13,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
16,"Aug. 4, 2015 - Aug. 9, 2015",Larry Bucshon,Larry Bucshon,R,IN-8,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
17,"Aug. 4, 2015 - Aug. 9, 2015",Jackie Walorski,Jackie Walorski,R,IN-2,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
18,"Aug. 1, 2015 - Aug. 9, 2015",Laura Kennedy Hughes,Jim McDermott,D,WA-7,"Dili, Timor-Leste",International Republican Institute,Original
19,"Aug. 1, 2015 - Aug. 9, 2015",Laura Kennedy Hughes,Jim McDermott,D,WA-7,"Jakarta, Indonesia",International Republican Institute,Original
20,"Aug. 3, 2015 - Aug. 9, 2015",Michael E. Capuano,Michael E. Capuano,D,MA-7,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
21,"Aug. 4, 2015 - Aug. 9, 2015",Marsha Blackburn,Marsha Blackburn,R,TN-7,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
22,"Aug. 4, 2015 - Aug. 9, 2015",Tom Reed,Tom Reed,R,NY-23,"Prague, Czech Republic","The Ripon Society, The Franklin Center for Global Policy Exchange",Original
23,"Aug. 6, 2015 - Aug. 9, 2015",Gwen Moore,Gwen Moore,D,WI-4,"Tunica, MS",Congressional Black Caucus Institute,Original
24,"Aug. 7, 2015 - Aug. 9, 2015",Igor Birman,Tom McClintock,R,CA-4,"Hillsdale, MI",Hillsdale College,Original
25,"Aug. 6, 2015 - Aug. 8, 2015",Joyce Beatty,Joyce Beatty,D,OH-3,"Tunica, MS",Congressional Black Caucus Institute,Original
26,"Aug. 6, 2015 - Aug. 8, 2015",Austin Carson,Blake Farenthold,R,TX-27,"Boston, MA",ACT The App Assoication,Original
27,"Aug. 6, 2015 - Aug. 8, 2015",Aruna Kalyanam,Sander M. Levin,D,MI-9,"Boston, MA",ACT - The App Association,Original
28,"Aug. 6, 2015 - Aug. 8, 2015",Emmanual Guillory,Joe L. Barton,R,TX-6,"Boston, MA",ACT - The App Association,Original
29,"Aug. 6, 2015 - Aug. 8, 2015",Matthew Joseph Keeley,Robert W. Goodlatte,R,VA-6,"Boston, MA",ACT - The App Association,Original
30,"Aug. 6, 2015 - Aug. 8, 2015",Tim Pataki,Fred Upton,R,MI-6,"Boston, MA",ACT The App Association,Original
31,"Aug. 6, 2015 - Aug. 7, 2015",David B. McKinley,David McKinley,R,WV-1,"White Sulphur Springs, WV",West Virginia Coal Association,Original
32,"Aug. 6, 2015 - Aug. 7, 2015",Robin L. Kelly,Robin Kelly,D,IL-2,"Tunica, MS",Congressional Black Caucus Institute,Original
33,"Aug. 1, 2015 - Aug. 3, 2015",Maxine Waters,Maxine Waters,D,CA-43,"St. Louis, MO","National Funeral Directors and Morticians Association, Inc.",Amendment
34,"Aug. 2, 2015 - Aug. 3, 2015",K. Michael Conaway,K. Michael Conaway,R,TX-11,"Denver, CO",Amcot,Original
35,"Aug. 1, 2015 - Aug. 3, 2015",Maxine Waters,Maxine Waters,D,CA-43,"St. Louis, MO","National Funeral Directors & Morticians Association, Inc.",Original
36,"July 31, 2015 - Aug. 1, 2015",Maxine Waters,Maxine Waters,D,CA-43,"Chicago, IL","American Bar Association, Commission on Racial and Ethnic Diversity in the Profession",Original
37,"July 22, 2015 - July 22, 2015",Kristeen Witt,Paul D. Ryan,R,WI-1,"New York, NY",Practising Law Institute,Original
38,"July 19, 2015 - July 21, 2015",G. K. Butterfield,G. K. Butterfield,D,NC-1,"Los Angeles, CA",National Bar Association,Original
39,"July 20, 2015 - July 21, 2015",Emanuel Cleaver,Emanuel Cleaver II,D,MO-5,"Los Angeles, CA",National Bar Association,Original
40,"July 19, 2015 - July 20, 2015",Bennie G. Thompson,Bennie Thompson,D,MS-2,"San Juan, Puerto Rico","International Longshoremen's Association, AFL-CIO",Original
41,"July 17, 2015 - July 19, 2015",Adam Howard,Michael R. Turner,R,OH-10,"Cambridge, MD",Main Street Partnership,Original
42,"July 17, 2015 - July 19, 2015",Cesar Gonzalez,Mario Diaz-Balart,R,FL-25,"Cambridge, MD",Main Street Partnership,Original
43,"July 17, 2015 - July 19, 2015",Justin E. Stokes,Richard Hanna,R,NY-22,"Cambridge, MD",Main Street Partnership,Original
44,"July 17, 2015 - July 19, 2015",Stephanie Valle,Chris Gibson,R,NY-19,"Cambridge, MD",Main Street Partnership,Original
45,"July 17, 2015 - July 19, 2015",Ryan Carney,Tom MacArthur,R,NJ-3,"Cambridge, MD",Main Street Partnership,Original
46,"July 17, 2015 - July 19, 2015",Kelli Briggs,Pat Tiberi,R,OH-12,"Cambridge, MD",Main Street Partnership,Original
47,"July 17, 2015 - July 19, 2015",Patrick Meehan,Pat Meehan,R,PA-7,"Cambridge, MD",Main Street Partnership,Original
